Vaga,Empresa,Local,DataAnuncio,DataColeta,SumarioVaga,Salario
Analista de Desenvolvimento de Sistemas - Sertão do Maruim,Jobbol,"São José,",Dar suporte as áreas internas da empresa.,há 13 dias,16-11-2021,
,Wise & Trust,"Florianópolis, SC","Estamos em busca de um(a) profissional para nossa vaga de Estágio de Analista Quantitativo (Quant Analyst).
Bons conhecimentos em estatística e algebra linear.",há 5 dias,16-11-2021,R$ 850 por mês
Pessoa Desenvolvedora de Software C++,Concentrei,"Florianópolis, SC","Um segmento importante nessa área são os Contact Centers.
Benefícios: * Jornada mista (presencial + home-office); Vale alimentação ou Vale refeição, Vale…",há 30+ dias,16-11-2021,R$ 7.407 por mês
Desenvolvedor Full Stack - OEmprego,OEmprego,"Florianópolis, SC","Excelentes conhecimentos em HTML, CSS e Python;
Bons conhecimentos em JS, Django, SQL e modelagem de banco de dados;",há 30+ dias,16-11-2021,
,CD2 Serviços em Tecnologia da Informação Ltda,"Florianópolis, SC","Estamos em busca de um profissional com experiência no mercado, conhecimento pleno em PHP e Angular, capacidade de realizar tarefas sem acompanhamento diário…",há 7 dias,16-11-2021,R$ 3.000 - R$ 5.000 por mês
Mulher Engenheira de Software - Backend (vaga exclusiva e afirmativa),RD Station,"Florianópolis, SC","Somos uma das maiores empresas do Brasil no modelo SaaS (software como serviço).
Se identifica como uma mulher ou pessoa não binária (se você não atende esse…",há 30+ dias,16-11-2021,
,Grupo Nexxees,"Florianópolis, SC","Participar da definição das tecnologias que serão utilizadas no desenvolvimento do sistema;
Conhecimentos Necessários:JAVA (a partir da versão 6), Git, SQL.",há 6 dias,16-11-2021,
DevOps Engineer SRE,Grupo Nexxees,"Florianópolis, SC","Conhecimento em Plataforma como Serviço (PaaS);
Conhecimento em linguagens de programação como JAVA e Python;",há 17 dias,16-11-2021,
Cientista de Dados - Consumer Fraud Detection (presencial/remoto),BoletoFlex,"Florianópolis, SC","Liderar o desenvolvimento de novos modelos de validação e prevenção de fraude, trabalhando de forma cross-funcional com as equipes de produto e tecnologia;",há 30+ dias,16-11-2021,
Engenheiro(a) de Dados SQL,GeekHunter,"Florianópolis, SC","ATIVIDADES O que você irá fazer? Desenvolver, melhorar e gerenciar todo o nosso processo de ETL, desde a extração dos dados nos ERPs de clientes, até a…",há 30+ dias,16-11-2021,R$ 4.500 - R$ 6.500 por mês
"VP, Software Engineering",Canonical - Jobs,"Florianópolis, SC","As a platform company we offer a wide range of software engineering challenges, from the Linux kernel up through Ubuntu server, desktop, IoT and operations…",há 30+ dias,16-11-2021,
Desenvolvedor Back-End,REAL VALOR METALURGICA EIRELI,"Palhoça, SC","Familiaridade com estruturas de cloud como Microsoft Azure e Amazon AWS;
Familiaridade com ferramentas de controle de versão, como o Git;",há 18 dias,16-11-2021,R$ 5.500 - R$ 6.000 por mês
Desenvolvedor(a) Front-end (remoto),GeekHunter,"Florianópolis, SC","Desenvolvemos em Node.js com Serverless, mas também temos projetos e componentes em C++, Python e Java, no front usamos React;
Fluência em consumo de APIs ;",há 25 dias,16-11-2021,R$ 11.000 - R$ 13.000 por mês
Engenheiro de dados,Fator WoW!,"Florianópolis, SC","Construir e operacionalizar sistemas de processamento de dados, desde o mapeamento das fontes, tratamento e aplicação de regras de negócios até a…",há 30+ dias,16-11-2021,R$ 6.500 por mês
Pessoa Analista de Sistemas Sr,Intelbras,"São José,","Conhecimento em micro serviços, containers, plataforma de conhecimento WSO2, Enterprise Integration Patterns, SCIM, CI/CD, AWS.",há 30+ dias,16-11-2021,
Ubuntu on WSL Developer Advocate,Canonical - Jobs,"Florianópolis, SC","WSL is not a virtual machine system like Hyper-V, nor an operations capability like Docker or Kubernetes, nor a cloud simulator like Multipass.",há 30+ dias,16-11-2021,
DevOps,Curriculum.com.br,"Florianópolis, SC","Garantir a alta escalabilidade e resiliência das aplicações desenvolvidas mundo afora.
Criar e gerenciar ferramentas de monitoramento de infraestrutura e…",há 22 dias,16-11-2021,
Pessoa Pesquisadora em Visão Computacional (Júnior e Pleno),CERTI,"Florianópolis, SC","Coordenar e formar times técnicos em Visão Computacional;
Desenvolver soluções de Visão Computacional em projeto de P&D;",há 30+ dias,16-11-2021,R$ 8.000 - R$ 10.000 por ano
,BairesDev,"Florianópolis, SC","We are looking for a Microsoft Azure SQL Developer to act as an instrumental player in building the frameworks, data assets and workflows for a high functioning…",Hoje,16-11-2021,
Android / Kotlin Developer,AE Studio,"Florianópolis, SC",AE Studio is a mid-sized startup from California and we are looking for developers/designers to work remotely and/or from our office in Florianópolis.,há 30+ dias,16-11-2021,
Desenvolvedor de Testes -QA Developer - Blumenau- SC,HOLDEN Recruiting Talents,"Florianópolis, SC","Desejável experiência com Robot Framework ou selenium,.",há 30+ dias,16-11-2021,
Python Developer,BDR Desenvolvimento Organizacional,Santa Catarina,"Experience in modern Python backend frameworks (async frameworks like Tornado/Sanic);
Familiarity with Scrum/Agile development methodologies;",há 30+ dias,16-11-2021,R$ 14 por hora
Kubernetes Engineering Manager,Canonical - Jobs,"Florianópolis, SC","For large-scale deployments with complex integration requirements we offer Charmed Kubernetes, which enables people to mix-and-match components from a wide…",há 30+ dias,16-11-2021,
Full Stack Developer,AE Studio,"Florianópolis, SC",AE Studio is a mid-sized startup from California and we are looking for developers/designers to work remotely and/or from our office in Florianópolis.,há 30+ dias,16-11-2021,
Pessoa Desenvolvedora de Software Embarcado (Pleno e Sênior),CERTI,"Florianópolis, SC","Desenvolvimento de software e testes segundo modelo e padrões definidos;
Experiência com o Git Flow;
Experiência em sistemas de compilação como CMake, Meson ou…",há 30+ dias,16-11-2021,
,Selecionar Talentos,"Florianópolis, SC","Habilidades - Superior em Engenharia da Computação, Ciências da Computação ou áreas afins.
Necessário 2 anos de experiência em Banco de Dados Relacionais, SQL,…",há 8 dias,16-11-2021,
Full Stack Developer - PwD,ArcTouch,"Florianópolis, SC","Design and create data fetching and state management systems on the front-end using Flux, Redux, or Mobx (but if you are familiar with another tool that may do…",há 30+ dias,16-11-2021,
Dev Full Stack,BDR Desenvolvimento Organizacional,Santa Catarina,"Experiência em front end com foco em SPA;
Experiência em back end com PHP ou Python;
Experiência com ferramentas de versionamento Git ou similares.",há 22 dias,16-11-2021,R$ 3.000 - R$ 6.000 por mês
Pessoa Desenvolvedora FullStack Mobile/.NET SR,Zallpy Digital,"Florianópolis, SC","Valorizamos o trabalho em equipe, as interações humanas e prezamos pela nossa autonomia como time e como produto.",há 30+ dias,16-11-2021,
Full Stack Developer,ArcTouch,"Florianópolis, SC","Design and create data fetching and state management systems on the front-end using Flux, Redux, or Mobx (but if you are familiar with another tool that may do…",há 30+ dias,16-11-2021,
Pessoa Engenheira de Dados Sênior,Magrathea,Santa Catarina,"Estamos em Joinville / SC, mas nosso time está distribuído em várias cidades do Brasil.
No nosso Playbook você conhece mais sobre nossos princípios e como…",há 30+ dias,16-11-2021,
Senior DevOps Engineer (Remote Brazil),McFadyen Digital,"Florianópolis, SC","They are responsible for the design and implementation of applications’ build, release, deployment, and configuration activities.",há 11 dias,16-11-2021,
Public Cloud Field Engineer,Canonical - Jobs,"Florianópolis, SC","Understand Ubuntu, Linux, networking and services in real-world public cloud environments.
Architect complex infrastructure solutions like Kubernetes, Ceph,…",há 30+ dias,16-11-2021,
Desenvolvedor Full Stack .NET,Adapt Ead Consultoria em EaD,"Florianópolis, SC","Disseminar conhecimento entre o time, seja sobre as tecnologias, ferramentas, conceitos, teorias ou técnicas;
Versionamento de código em Git;",há 13 dias,16-11-2021,
Pessoa Analista Desenv Produto Pl - Desenvolvedor Back-End,Intelbras,"São José,","Domínio de C/C++, linguagens de script (shell ou python), kernel Linux, ferramentas Linux, desenvolvimento de device drivers, protocolos de rede.",há 29 dias,16-11-2021,
Desenvolvedor(a) pleno Back-end,GeekHunter,"Florianópolis, SC","Um sistema capaz de criar meshs texturizados a partir de nuvens de pontos de scanners lasers;
A Allie nasceu para criar experiências virtuais inovadoras.",há 30+ dias,16-11-2021,R$ 7.000 - R$ 9.000 por mês
Desenvolvedor(a) Full-Stack Pleno,CD2 Serviços em Tecnologia da Informação Ltda,"Florianópolis, SC","Estamos em busca de um profissional com experiência no mercado, conhecimento pleno em Java e Angular, capacidade de realizar tarefas sem acompanhamento diário…",há 29 dias,16-11-2021,R$ 7.000 - R$ 10.000 por mês
Desenvolvedor FullStack,Skeel,"Florianópolis, SC","Empresa de tecnologia para o desenvolvimento de soluções.
Jornada mista (presencial + home-office);",há 30+ dias,16-11-2021,
Desenvolvedor(a) Full-stack (remoto),GeekHunter,"Florianópolis, SC","Desenvolvemos em Node.js com Serverless, mas também temos projetos e componentes em C++, Python e Java, no front usamos React;
E estamos crescendo nosso time!",há 25 dias,16-11-2021,R$ 8.000 - R$ 10.000 por mês
Pessoa Desenvolvedora FullStack Mobile/.NET PL,Zallpy Digital,"Florianópolis, SC","Valorizamos o trabalho em equipe, as interações humanas e prezamos pela nossa autonomia como time e como produto.",há 30+ dias,16-11-2021,
"Software Engineering Lead - Linux, Open Source, or SAAS",Canonical - Jobs,"Florianópolis, SC","Cloud native development and operations (Docker, Kubernetes, CAAS, PAAS).
Internet of things technologies and capabilities.
Linux, the kernel and Ubuntu itself.",há 17 dias,16-11-2021,
QA- Software Quality Assurance - Lead - para multinacional -região de Blumenau - SC,HOLDEN Recruiting Talents,"Florianópolis, SC","Você fará parte da equipe que entrega soluções para a maioria das maiores empresas do mundo.
Uma ótima equipe que está sempre pronta para te ajudar.",há 30+ dias,16-11-2021,
,BairesDev,"Florianópolis, SC","These developers will face numerous technical challenges, so they must use current technologies, get involved in the mobile world, web applications, devices,…",Hoje,16-11-2021,
Analista de Sistemas Chatbot,People TI Gestão de Pessoas,"São José,","Conhecimento em Metodologia ágil e Scrum.
Conhecimento em Chatbot (plataformas conversacionais como Blip, Einstein Bot Salesforce).",há 30+ dias,16-11-2021,
iOS / RxSwift Developer,AE Studio,"Florianópolis, SC",AE Studio is a mid-sized startup from California and we are looking for developers/designers to work remotely and/or from our office in Florianópolis.,há 30+ dias,16-11-2021,
Desenvolvedor(a) Back-end (remoto),GeekHunter,"Florianópolis, SC","Desenvolvemos em Node.js com Serverless, mas também temos projetos e componentes em C++, Python e Java, no front usamos React;
E estamos crescendo nosso time!",há 25 dias,16-11-2021,R$ 12.100 - R$ 14.000 por ano
AWS Certified DevOps Engineer,Beck et al. Services,"Florianópolis, SC","Criação de conceitos de rede para integração híbrida;
Criação de Blogs técnicos para o compartilhamento de experiência com a equipe de trabalho;",há 30+ dias,16-11-2021,
FrontEnd Developer - Sênior (Remote First),Payface,"Florianópolis, SC","Hoje estamos operando remotamente com todo o nosso time, mas quando pudermos estar juntos novamente com segurança, ainda assim, adotaremos um modelo híbrido,…",há 30+ dias,16-11-2021,
Desenvolvedor Full Stack Sr,People TI Gestão de Pessoas,"Palhoça, SC",".Integração de equipamentos bancários aos softwares proprietários da.
. Suporte técnico ao time de Operações.
.NET, C#, C++, Python, C, Javascript, NodeJS.",há 12 dias,16-11-2021,
Cloud Engineer Azure,Beck et al. Services,"Florianópolis, SC","Criação de conceitos de rede para integração híbrida (VNets, conectividade, segurança, ExpressRoute, VPNs);
Criação de Blogs técnicos para o compartilhamento de…",há 30+ dias,16-11-2021,
Analista de Sistemas PL/SR - Função: Desenvolvedor CHATBOT,People TI Gestão de Pessoas,"São José,","Realizar desenvolvimento dentro da plataforma Take.
Conhecimento em Metodologia ágil e Scrum.
Conhecimento em Chatbot (plataformas conversacionais como Blip,…",há 30+ dias,16-11-2021,
